122	TNB Time New Bank	TNB	$146,631,881	$0.091596	1,600,849,393 *	$18,095,000	0.18%	-10.78%	-1.78%	
123	CLOAK CloakCoin	CLOAK	$141,970,365	$28.09	5,053,693 *	$2,905,320	1.68%	-7.22%	20.72%	
124	RISE Rise	RISE	$141,304,072	$1.25	113,139,200 *	$5,488,100	-0.36%	-2.96%	5.90%	
125	XBY XTRABYTES	XBY	$140,327,060	$0.326342	430,000,000 *	$1,463,590	3.82%	-14.29%	35.85%	
126	CTR Centra	CTR	$140,145,280	$2.06	68,000,000 *	$5,806,610	-0.33%	-7.34%	-5.49%	
127	XDN DigitalNote	XDN	$138,800,478	$0.020158	6,885,695,758	$8,528,530	0.68%	-5.28%	-19.64%	
128	SNM SONM	SNM	$138,604,584	$0.385441	359,600,000 *	$4,248,190	1.00%	3.37%	1.27%	
129	DATA Streamr DATAcoin	DATA	$136,540,082	$0.201638	677,154,514 *	$7,699,990	-0.23%	1.48%	-5.28%	
130	THC HempCoin	THC	$135,746,913	$0.590185	230,007,393	$9,101,460	-1.99%	3.89%	70.49%	
131	ENJ Enjin Coin	ENJ	$134,156,118	$0.177410	756,192,535 *	$6,092,370	3.02%	-1.53%	14.80%	
132	DCT DECENT	DCT	$133,058,237	$2.59	51,306,089 *	$4,146,330	5.31%	1.40%	84.58%	
133	RLC iExec RLC	RLC	$132,840,514	$1.68	79,070,793 *	$7,398,620	-1.52%	21.80%	45.37%	
134	PPP PayPie	PPP	$131,915,025	$1.60	82,500,000 *	$277,828	-5.10%	-10.17%	-6.83%	
135	EMC Emercoin	EMC	$127,791,053	$3.11	41,119,988	$2,591,480	0.59%	4.81%	16.35%	
136	VOX Voxels	VOX	$127,214,010	$0.605781	210,000,000 *	$17,729,100	1.46%	2.52%	31.09%	
137	LRC Loopring	LRC	$125,766,610	$0.439481	286,170,756 *	$5,654,750	-0.43%	-4.17%	38.40%	
138	AGRS Agoras Tokens	AGRS	$123,079,320	$2.93	42,000,000 *	$430,953	3.34%	-0.06%	7.18%	
139	ITC IoT Chain	ITC	$121,999,881	$3.21	38,049,933 *	$30,973,200	0.58%	4.16%	188.60%	
140	MGO MobileGo	MGO	$121,496,022	$1.24	98,028,887 *	$508,731	0.26%	-12.80%	34.63%	
141	VIA Viacoin	VIA	$119,392,430	$5.20	22,944,816	$2,782,620	0.91%	8.69%	19.42%	
142	ANT Aragon	ANT	$118,877,020	$3.69	32,252,180 *	$1,325,430	-0.15%	-2.35%	-8.48%	
143	QRL Quantum Resis...	QRL	$118,235,520	$2.27	52,000,000 *	$1,730,390	0.56%	-5.74%	21.23%	
144	CND Cindicator	CND	$117,290,825	$0.081115	1,445,976,590 *	$18,439,200	0.09%	-7.90%	55.89%	
145	UNITY SuperNET	UNITY	$116,920,292	$143.27	816,061 *	$11,405	2.98%	-7.23%	32.03%	
146	MOD Modum	MOD	$114,032,781	$6.24	18,266,200 *	$7,057,530	-2.62%	-4.42%	96.35%	
147	GRS Groestlcoin	GRS	$112,960,944	$1.63	69,127,314	$3,530,700	2.73%	7.84%	-20.04%	
148	MED Medibloc	MED	$112,594,745	$0.037957	2,966,384,100 *	$2,391,260	0.60%	-15.93%	-23.94%	
149	TNT Tierion	TNT	$110,477,040	$0.257834	428,481,269 *	$12,499,700	-3.71%	25.91%	73.59%	
150	ACT Achain	ACT	$110,077,200	$0.366924	300,000,000 *	$1,724,250	0.00%	-2.61%	1.19%	
151	SHIFT Shift	SHIFT	$108,367,256	$9.37	11,568,577 *	$3,432,430	2.51%	-17.91%	29.21%	
152	WINGS Wings	WINGS	$108,122,763	$1.21	89,708,333 *	$9,379,880	2.09%	-7.17%	15.38%	
153	PPC Peercoin	PPC	$108,042,243	$4.40	24,545,906	$815,644	0.11%	-2.66%	-7.81%	
154	XAS Asch	XAS	$107,495,017	$1.17	91,559,147	$4,830,040	0.68%	-8.86%	-15.47%	
155	FUEL Etherparty	FUEL	$107,313,381	$0.221198	485,146,253 *	$11,565,100	8.43%	33.87%	112.58%	
156	MOON Mooncoin	MOON	$105,932,089	$0.000475	223,162,446,605	$2,296,850	16.27%	90.12%	269.52%	
157	WABI WaBi	WABI	$104,185,858	$2.30	45,248,033 *	$24,934,500	2.23%	18.34%	15.07%	
158	NEBL Neblio	NEBL	$104,100,095	$8.21	12,683,595 *	$1,845,470	-1.00%	0.26%	17.70%	
159	LBC LBRY Credits	LBC	$103,336,489	$0.810469	127,502,087	$4,910,030	2.94%	6.89%	-0.03%	
160	ETP Metaverse ETP	ETP	$102,820,293	$2.79	36,846,680	$4,092,260	0.57%	-1.12%	-5.14%	
161	DNT district0x	DNT	$102,123,600	$0.170206	600,000,000 *	$10,214,100	8.73%	18.62%	31.91%	
162	INK Ink	INK	$101,468,991	$0.569251	178,250,000 *	$91,666,900	1.70%	-7.74%	-10.34%	
163	CMT CyberMiles	CMT	$100,608,385	$0.236283	425,796,121 *	$11,919,000	0.28%	1.54%	31.30%	
164	VEE BLOCKv	VEE	$100,555,337	$0.074534	1,349,120,359 *	$1,670,820	2.72%	-11.55%	80.76%	
165	BRD Bread	BRD	$98,741,982	$1.65	59,775,880 *	$19,573,100	-0.08%	0.72%	-14.49%	
166	NLG Gulden	NLG	$95,543,451	$0.245272	389,540,800	$746,767	0.06%	-2.64%	27.76%	
167	JINN Jinn	JINN	$95,104,143	$1620.09	58,703 *	$1,620	3.04%	-15.67%	32.66%	
168	CDT CoinDash	CDT	$94,535,135	$0.168617	560,650,080 *	$11,473,700	6.46%	-1.27%	77.48%	
